quote,rating_num,title
爱，是个动词。,8.6,真爱至上
土壤没有落叶不会肥沃，没有了你就不算人生。,9.5,人生果实
Jared Leto的腿比女人还美！,8.8,达拉斯买家俱乐部
写给影迷，动漫迷和游戏迷的一封情书。,8.7,头号玩家
电影诗。,8.6,东邪西毒
始于荒诞，止于更荒诞。,8.8,荒蛮故事
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,8.7,爆裂鼓手
一个针管引发的血案。,8.6,记忆碎片
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.6,贫民窟的百万富翁
黑暗之美。,8.6,黑天鹅
揭露人性的丧尸题材力作。,8.5,釜山行
偷情本没有这样美。,8.6,花样年华
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.4,你的名字。
当这个世界闭上双眼，他却敞开了怀抱。,8.9,卢旺达饭店
养狗三日，便会对你终其一生。,9.2,忠犬八公物语
愿我们都不用长大，每一座城堡都能永远存在。,8.7,头脑特工队
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,8.7,模仿游戏
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,8.7,黑客帝国3：矩阵革命
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7,雨人
惠及一生的美丽。,8.8,一个叫欧维的男人决定去死
感情不分食草或者食肉。,8.9,你看起来好像很好吃
迪士尼和皮克斯拿错剧本的产物。,8.7,无敌破坏王
好的剧本是，就算你猜到了结局也猜不到全部。,8.9,未麻的部屋
不一样的导演，不一样的哈利·波特。,8.6,哈利·波特与阿兹卡班的囚徒
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.5,恋恋笔记本
松鼠才是角儿。,8.6,冰川时代
是枝裕和的家庭习作。,8.8,海街日记
我们都有权利不与自己的过去和解。,8.6,海边的曼彻斯特
魔法的密室之门已打开...,8.6,哈利·波特与密室
要做就做得狠一点，这样才能活下去。,8.8,新世界
有一些东西不应该被遗忘。,8.7,二十二
永远看不腻的喜剧。,8.9,虎口脱险
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,8.8,房间
不要企图在重复中寻找已经失去的爱。,8.5,恐怖游轮
骨灰级歌舞片。,9.0,雨中曲
对爱的执着，可以超越一切。,8.6,人工智能
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,8.6,魔女宅急便
故事的反转与反转，分裂电影的始祖。,9.0,惊魂记
世界不完美，爱会有奇迹。,8.6,奇迹男孩
中国版《两杆大烟枪》。,8.4,疯狂的石头
大海啊，不全是水。,9.1,海洋
人生的N种可能性。,8.8,罗生门
传奇，不是每个人都可以拥有。,8.8,燃情岁月
少见的超越首部的续集，动作片中的经典。,8.7,终结者2：审判日
中国式内在的美国电影。,8.8,魂断蓝桥
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,爱在午夜降临前
爱上未来的你。 ,8.6,穿越时空的少女
黑小鸭速效美白记。,8.4,初恋这件小事
坚硬的信仰。,8.8,可可西里
我们组成了家。,8.7,小偷家族
天使暂时离开。,8.8,绿里奇迹
现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.8,2001太空漫游
来啊，互相伤害啊！,8.5,完美陌生人
弱者送给弱者的一刀。,8.8,牯岭街少年杀人事件
昆汀同学越来越变态了，比北野武还杜琪峰。,8.6,无耻混蛋
王家卫是一种风格，张国荣是一个代表。,8.5,阿飞正传
一个单凭体香达到高潮的男人。,8.5,香水
嬉笑怒骂，调风动月。,8.6,新龙门客栈
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.4,源代码
谁说王家卫镜头很晃？,8.6,谍影重重2
永远的小人物，伟大的卓别林。,9.3,城市之光
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.6,谍影重重
不可猜的青春迷笛。 ,8.5,猜火车
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.5,青蛇
做一颗让别人需要你的棋子。,8.6,战争之王
天使保护事件始末。,8.9,地球上的星星
每个美丽事物背后都是滴血的现实。,8.6,血钻
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.6,朗读者
世界离独裁只有五天。,8.7,浪潮
假戏真情，爱欲深海,8.4,色，戒
小成本大魅力。,8.5,彗星来的那一夜
用剩余不多的时间，去燃烧整个生命。,8.6,遗愿清单
“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,8.6,疯狂的麦克斯4：狂暴之路
人们可以登上月球，却永远无法探索人们内心的宇宙。,8.7,大佛普拉斯
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,步履不停
宝莱坞的萝莉与大叔。,8.4,小萝莉的猴神大叔
爱我就给我看你的播放列表。,8.5,再次出发之纽约遇见你
新闻人的理性求真。,8.8,聚焦
诺兰的牛逼来源于内心散发出的恐惧。,8.9,追随
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2,东京物语
过去的如果就让它过去了，未来只会越来越糟！,8.3,驴得水
只有有信仰的人才能说出事实真相。,8.7,一次别离
还原真实而残酷的战争。,8.7,黑鹰坠落
一部能引人思考的科幻励志片。,8.8,千钧一发
你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,我爱你
我完全康复了。,8.5,发条橙
来也匆匆去也匆匆，就这样风雨兼程。,8.9,四个春天
,8.6,网络谜踪
生病的E.T.皮肤的颜色就像柿子饼。,8.6,E.T. 外星人
天使与魔鬼的冲撞。,8.6,撞车
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.5,变脸
一场没有春天的噩梦。,8.7,梦之安魂曲
